detection_id,customer_id,product_id,timestamp,location,altitude_m,detected_object,confidence,alert_level,processed
101,102,5,2024-01-19 11:34:00,CopenhagenHarbor,98,drone,0.974,critical,True
102,132,6,2024-01-26 04:18:00,BillundAirport,146,unknown,0.61,high,True
103,102,4,2024-01-30 05:18:00,CopenhagenAirport,36,drone,0.866,medium,True
104,19,2,2024-02-28 00:04:00,AarhusPort,180,bird,0.964,low,True
105,82,5,2024-01-09 11:39:00,EsbjergPort,194,drone,0.702,high,False
106,141,9,2024-01-01 03:55:00,OdenseIndustrial,129,drone,0.935,critical,True
107,23,1,2024-01-30 19:29:00,BillundAirport,71,bird,0.975,medium,True
108,83,1,2024-02-16 20:04:00,AarhusPort,137,drone,0.726,medium,True
109,109,4,2024-01-06 22:47:00,CopenhagenAirport,28,bird,0.747,low,True
110,75,14,2024-02-19 03:52:00,BillundAirport,52,bird,0.979,medium,True
111,129,8,2024-02-15 10:41:00,EsbjergPort,132,drone,0.856,high,True
112,88,8,2024-02-28 17:15:00,AarhusPort,168,bird,0.704,low,True
113,54,4,2024-02-21 04:18:00,BillundAirport,104,bird,0.775,low,True
114,89,7,2024-01-04 18:15:00,AarhusPort,29,bird,0.83,medium,True
115,143,1,2024-01-26 02:39:00,AarhusPort,25,bird,0.901,low,True
116,65,8,2024-01-31 12:05:00,CopenhagenAirport,134,bird,0.913,low,True
117,76,13,2024-01-05 03:11:00,OdenseIndustrial,140,bird,0.989,low,True
118,143,7,2024-01-06 13:27:00,CopenhagenAirport,160,unknown,0.545,low,True
119,149,12,2024-01-30 01:12:00,AarhusPort,84,bird,0.856,medium,True
120,147,8,2024-02-10 16:36:00,BillundAirport,39,bird,0.855,low,True
121,60,2,2024-01-22 04:43:00,EsbjergPort,76,bird,0.818,low,True
122,93,13,2024-01-11 18:44:00,CopenhagenAirport,65,drone,0.749,high,True
123,49,1,2024-01-14 09:22:00,OdenseIndustrial,155,bird,0.983,low,True
124,35,7,2024-01-17 14:50:00,AarhusPort,29,drone,0.947,critical,True
125,102,2,2024-01-01 01:17:00,EsbjergPort,132,drone,0.845,medium,True
126,11,1,2024-01-15 07:31:00,CopenhagenAirport,158,drone,0.875,high,False
127,99,5,2024-01-12 19:04:00,CopenhagenAirport,31,bird,0.766,low,True
128,110,3,2024-01-10 18:20:00,CopenhagenAirport,157,drone,0.858,high,True
129,74,6,2024-02-27 15:05:00,CopenhagenAirport,172,bird,0.902,low,True
130,9,7,2024-02-28 08:56:00,EsbjergPort,196,unknown,0.479,low,True
131,3,1,2024-01-31 01:43:00,BillundAirport,196,drone,0.987,critical,True
132,85,2,2024-02-11 02:47:00,OdenseIndustrial,30,bird,0.877,medium,True
133,26,7,2024-02-22 02:46:00,OdenseIndustrial,137,bird,0.808,low,True
134,72,4,2024-01-21 08:07:00,AarhusPort,183,bird,0.924,low,True
135,48,8,2024-01-28 13:51:00,CopenhagenHarbor,58,drone,0.749,medium,True
136,117,8,2024-01-09 07:14:00,BillundAirport,72,bird,0.812,medium,True
137,12,11,2024-02-20 22:20:00,AarhusPort,75,bird,0.801,low,True
138,133,8,2024-02-20 01:41:00,AarhusPort,123,bird,0.825,medium,True
139,48,5,2024-02-19 16:00:00,CopenhagenAirport,148,drone,0.927,critical,True
140,37,8,2024-01-13 21:34:00,CopenhagenHarbor,75,drone,0.84,high,True
141,44,3,2024-01-07 09:04:00,CopenhagenHarbor,137,drone,0.93,high,True
142,15,4,2024-01-14 06:16:00,BillundAirport,151,drone,0.867,medium,True
143,43,10,2024-02-17 00:48:00,CopenhagenHarbor,49,bird,0.799,low,True
144,87,5,2024-01-24 14:56:00,AarhusPort,31,bird,0.935,low,True
145,70,10,2024-01-08 19:26:00,CopenhagenHarbor,54,drone,0.769,high,True
146,46,11,2024-02-01 15:18:00,CopenhagenHarbor,96,bird,0.765,low,True
147,108,12,2024-01-13 18:21:00,OdenseIndustrial,199,bird,0.846,low,False
148,123,13,2024-01-26 07:35:00,AarhusPort,178,bird,0.776,low,True
149,21,5,2024-01-03 18:58:00,EsbjergPort,121,bird,0.703,low,True
150,107,4,2024-01-08 20:22:00,CopenhagenHarbor,106,bird,0.888,low,True
151,80,7,2024-02-16 21:06:00,CopenhagenHarbor,71,drone,0.848,medium,True
152,47,4,2024-01-29 13:57:00,CopenhagenAirport,99,bird,0.829,medium,True
153,117,7,2024-02-08 03:17:00,CopenhagenHarbor,154,bird,0.98,low,True
154,124,8,2024-02-27 17:22:00,CopenhagenHarbor,41,bird,0.866,medium,True
155,143,8,2024-01-18 00:39:00,OdenseIndustrial,94,drone,0.95,critical,True
156,25,4,2024-02-09 10:59:00,AarhusPort,77,bird,0.74,low,True
157,36,2,2024-02-26 04:30:00,BillundAirport,112,drone,0.865,high,True
158,51,5,2024-02-19 12:44:00,AarhusPort,122,drone,0.952,critical,True
159,15,2,2024-01-04 18:08:00,CopenhagenAirport,159,bird,0.869,medium,True
160,68,12,2024-02-11 05:39:00,AarhusPort,26,unknown,0.731,medium,True
161,21,4,2024-01-18 09:33:00,CopenhagenHarbor,147,unknown,0.695,low,True
162,141,2,2024-01-07 13:26:00,CopenhagenAirport,74,drone,0.727,high,True
163,19,1,2024-01-01 15:22:00,AarhusPort,125,drone,0.833,high,True
164,34,8,2024-02-05 15:56:00,CopenhagenAirport,81,bird,0.814,medium,True
165,78,8,2024-01-08 11:49:00,BillundAirport,109,bird,0.951,medium,True
166,125,4,2024-02-16 06:56:00,AarhusPort,117,bird,0.771,low,True
167,117,1,2024-01-31 13:48:00,EsbjergPort,96,bird,0.98,low,True
168,52,5,2024-02-14 18:44:00,CopenhagenHarbor,138,unknown,0.486,low,True
169,27,4,2024-01-23 07:54:00,CopenhagenAirport,55,bird,0.772,low,True
170,35,8,2024-02-27 13:10:00,EsbjergPort,108,drone,0.801,high,True
171,136,7,2024-01-02 14:56:00,EsbjergPort,171,drone,0.96,high,True
172,144,4,2024-02-17 01:39:00,OdenseIndustrial,191,drone,0.98,critical,True
173,106,2,2024-01-14 05:09:00,CopenhagenAirport,164,unknown,0.45,low,True
174,146,15,2024-02-11 02:41:00,EsbjergPort,149,bird,0.793,low,True
175,2,6,2024-01-23 09:45:00,OdenseIndustrial,160,bird,0.853,low,True
176,77,8,2024-01-31 11:12:00,EsbjergPort,178,bird,0.899,medium,True
177,132,2,2024-02-02 01:57:00,CopenhagenHarbor,112,bird,0.779,low,True
178,90,6,2024-02-08 07:40:00,BillundAirport,133,bird,0.914,low,True
179,89,1,2024-01-17 11:10:00,OdenseIndustrial,47,bird,0.715,low,False
180,94,7,2024-01-21 11:26:00,BillundAirport,174,drone,0.714,high,True
181,7,15,2024-02-19 22:27:00,CopenhagenAirport,162,bird,0.812,low,True
182,95,5,2024-02-19 22:15:00,CopenhagenHarbor,52,bird,0.803,medium,True
183,108,1,2024-02-14 17:55:00,OdenseIndustrial,39,drone,0.792,high,True
184,74,1,2024-01-29 05:11:00,CopenhagenAirport,189,bird,0.842,medium,True
185,39,5,2024-01-14 23:03:00,EsbjergPort,159,bird,0.793,low,True
186,141,2,2024-02-14 23:32:00,AarhusPort,120,drone,0.756,medium,True
187,71,1,2024-01-10 23:42:00,CopenhagenAirport,42,drone,0.79,high,True
188,56,9,2024-02-28 12:51:00,BillundAirport,131,drone,0.983,critical,True
189,42,6,2024-01-03 14:36:00,CopenhagenHarbor,33,bird,0.819,low,True
190,36,3,2024-01-15 07:29:00,CopenhagenHarbor,110,drone,0.829,medium,True
191,84,13,2024-01-12 10:38:00,CopenhagenAirport,172,drone,0.867,high,True
192,118,2,2024-01-28 13:06:00,EsbjergPort,96,bird,0.985,medium,True
193,7,14,2024-02-22 13:23:00,AarhusPort,104,drone,0.77,high,True
194,54,4,2024-02-19 12:35:00,BillundAirport,128,drone,0.898,high,True
195,129,12,2024-02-24 01:14:00,CopenhagenAirport,50,bird,0.908,medium,True
196,120,7,2024-01-10 19:53:00,CopenhagenAirport,141,bird,0.876,low,True
197,106,11,2024-02-23 00:05:00,CopenhagenHarbor,126,unknown,0.591,high,True
198,47,15,2024-01-10 00:39:00,BillundAirport,73,drone,0.896,medium,True
199,123,3,2024-02-08 09:58:00,AarhusPort,152,bird,0.719,medium,True
200,141,15,2024-01-01 13:34:00,CopenhagenHarbor,160,drone,0.873,high,True
201,119,5,2024-02-22 19:57:00,CopenhagenAirport,175,bird,0.914,medium,True
202,150,5,2024-01-02 16:43:00,CopenhagenHarbor,62,bird,0.761,low,True
203,118,4,2024-02-22 18:33:00,CopenhagenHarbor,108,bird,0.944,low,True
204,21,7,2024-02-22 17:16:00,OdenseIndustrial,134,unknown,0.747,medium,False
205,137,2,2024-02-20 21:59:00,CopenhagenHarbor,118,unknown,0.484,low,True
206,26,7,2024-01-13 01:28:00,EsbjergPort,66,bird,0.833,low,True
207,9,7,2024-01-11 15:28:00,CopenhagenHarbor,90,bird,0.763,low,True
208,15,9,2024-02-09 13:02:00,EsbjergPort,185,bird,0.739,medium,True
209,10,11,2024-01-19 23:06:00,BillundAirport,86,unknown,0.54,medium,True
210,122,5,2024-02-29 08:11:00,CopenhagenHarbor,81,unknown,0.543,low,False
211,121,4,2024-01-28 17:15:00,AarhusPort,128,drone,0.758,high,True
212,125,3,2024-01-26 20:19:00,EsbjergPort,186,drone,0.801,high,False
213,72,2,2024-02-26 03:59:00,EsbjergPort,56,drone,0.88,medium,True
214,49,1,2024-02-14 21:24:00,CopenhagenAirport,138,bird,0.858,low,True
215,91,4,2024-02-11 20:39:00,BillundAirport,105,bird,0.736,medium,True
216,37,3,2024-02-06 19:48:00,CopenhagenHarbor,145,bird,0.784,low,True
217,68,15,2024-01-01 02:06:00,AarhusPort,155,drone,0.769,high,True
218,50,7,2024-02-06 08:09:00,CopenhagenAirport,71,drone,0.762,high,True
219,19,4,2024-01-20 04:32:00,BillundAirport,110,bird,0.819,medium,True
220,100,7,2024-02-15 08:30:00,EsbjergPort,52,unknown,0.703,low,True
221,60,2,2024-02-08 07:36:00,AarhusPort,100,bird,0.763,medium,True
222,89,5,2024-02-29 18:26:00,CopenhagenHarbor,61,bird,0.806,low,True
223,146,8,2024-01-31 18:47:00,OdenseIndustrial,131,drone,0.813,high,True
224,147,6,2024-02-17 20:24:00,OdenseIndustrial,145,drone,0.983,critical,True
225,69,5,2024-01-03 15:17:00,BillundAirport,174,drone,0.977,critical,True
226,49,15,2024-02-03 06:02:00,AarhusPort,155,bird,0.932,low,True
227,108,12,2024-01-10 12:38:00,CopenhagenAirport,170,bird,0.77,low,True
228,119,8,2024-01-25 00:00:00,AarhusPort,125,drone,0.72,medium,True
229,149,7,2024-02-23 04:29:00,EsbjergPort,144,bird,0.792,medium,True
230,150,8,2024-01-16 08:36:00,OdenseIndustrial,132,bird,0.777,low,False
231,37,2,2024-01-26 04:04:00,BillundAirport,83,drone,0.847,high,True
232,143,5,2024-01-02 03:25:00,CopenhagenHarbor,142,bird,0.926,medium,True
233,11,1,2024-02-03 00:03:00,AarhusPort,133,drone,0.949,critical,True
234,138,6,2024-01-14 08:56:00,OdenseIndustrial,39,drone,0.945,high,False
235,78,7,2024-02-06 22:13:00,CopenhagenAirport,35,bird,0.804,low,True
236,77,2,2024-01-26 23:50:00,BillundAirport,164,bird,0.899,medium,True
237,2,15,2024-01-28 06:42:00,CopenhagenHarbor,38,drone,0.791,high,False
238,64,13,2024-02-14 00:14:00,AarhusPort,139,drone,0.718,high,False
239,35,8,2024-02-17 09:24:00,CopenhagenAirport,155,drone,0.903,critical,False
240,7,7,2024-01-09 02:54:00,CopenhagenHarbor,185,drone,0.703,high,True
241,85,12,2024-02-09 01:44:00,EsbjergPort,57,drone,0.819,high,True
242,146,2,2024-02-22 03:00:00,OdenseIndustrial,112,unknown,0.546,low,True
243,67,10,2024-02-09 23:05:00,EsbjergPort,124,bird,0.901,low,True
244,42,2,2024-01-28 05:44:00,OdenseIndustrial,119,bird,0.922,low,True
245,118,10,2024-01-10 04:24:00,CopenhagenAirport,109,bird,0.788,low,True
246,125,3,2024-01-29 06:58:00,EsbjergPort,178,bird,0.935,low,True
247,24,12,2024-01-18 11:10:00,OdenseIndustrial,63,bird,0.785,low,True
248,46,14,2024-02-14 06:11:00,BillundAirport,95,bird,0.829,low,True
249,19,2,2024-02-04 12:08:00,CopenhagenAirport,164,unknown,0.6,low,True
250,68,6,2024-02-21 01:09:00,OdenseIndustrial,98,bird,0.901,medium,True
251,102,15,2024-01-06 22:57:00,AarhusPort,92,bird,0.986,low,True
252,42,6,2024-01-06 14:30:00,OdenseIndustrial,186,bird,0.765,medium,True
253,32,12,2024-01-07 00:26:00,EsbjergPort,189,bird,0.892,medium,True
254,109,7,2024-02-10 02:41:00,BillundAirport,195,bird,0.877,medium,False
255,36,4,2024-01-26 06:08:00,CopenhagenHarbor,159,bird,0.965,medium,True
256,97,3,2024-01-05 17:03:00,CopenhagenHarbor,115,bird,0.745,low,True
257,131,2,2024-01-30 02:34:00,OdenseIndustrial,108,drone,0.918,critical,True
258,73,9,2024-02-18 23:07:00,CopenhagenHarbor,122,drone,0.865,high,True
259,136,5,2024-02-24 21:06:00,OdenseIndustrial,165,drone,0.78,medium,True
260,97,7,2024-02-16 21:26:00,BillundAirport,25,drone,0.838,high,True
261,123,6,2024-02-19 04:35:00,CopenhagenHarbor,141,bird,0.797,low,True
262,70,7,2024-02-01 18:45:00,EsbjergPort,190,drone,0.868,high,False
263,13,12,2024-01-14 20:36:00,EsbjergPort,135,drone,0.958,critical,True
264,49,15,2024-02-02 02:40:00,AarhusPort,182,bird,0.865,medium,True
265,60,5,2024-01-26 19:08:00,OdenseIndustrial,81,drone,0.883,medium,True
266,130,11,2024-01-04 07:17:00,CopenhagenHarbor,163,bird,0.85,low,True
267,5,9,2024-01-14 06:17:00,EsbjergPort,155,drone,0.715,high,True
268,27,7,2024-01-08 05:15:00,BillundAirport,108,unknown,0.501,medium,True
269,149,14,2024-01-12 06:41:00,BillundAirport,115,bird,0.843,low,True
270,8,2,2024-01-20 05:36:00,AarhusPort,145,drone,0.79,high,True
271,50,2,2024-02-18 22:40:00,BillundAirport,109,drone,0.753,high,True
272,67,12,2024-02-02 01:23:00,BillundAirport,105,unknown,0.657,high,True
273,44,5,2024-01-14 18:16:00,CopenhagenHarbor,178,bird,0.794,low,False
274,125,11,2024-02-04 14:40:00,OdenseIndustrial,157,drone,0.775,high,True
275,58,12,2024-02-06 16:53:00,CopenhagenAirport,140,bird,0.835,medium,True
276,3,1,2024-01-18 07:17:00,BillundAirport,95,bird,0.739,low,True
277,86,12,2024-01-15 23:26:00,BillundAirport,111,bird,0.969,low,False
278,70,5,2024-02-22 09:32:00,CopenhagenAirport,89,unknown,0.432,low,True
279,130,7,2024-02-13 15:03:00,BillundAirport,167,drone,0.905,critical,True
280,2,8,2024-01-15 10:46:00,CopenhagenHarbor,152,drone,0.731,high,True
281,102,13,2024-02-22 10:40:00,CopenhagenHarbor,42,unknown,0.543,high,True
282,35,1,2024-01-02 05:19:00,CopenhagenAirport,156,bird,0.934,low,True
283,98,6,2024-01-30 03:09:00,EsbjergPort,77,bird,0.923,low,True
284,30,8,2024-01-02 17:22:00,BillundAirport,65,bird,0.733,medium,True
285,116,8,2024-01-17 23:22:00,EsbjergPort,41,bird,0.887,low,True
286,8,8,2024-01-24 09:59:00,BillundAirport,27,bird,0.942,medium,True
287,150,2,2024-02-10 07:46:00,OdenseIndustrial,142,bird,0.867,low,True
288,44,3,2024-01-02 10:39:00,BillundAirport,39,bird,0.887,low,True
289,36,4,2024-01-02 21:17:00,CopenhagenHarbor,198,bird,0.833,low,True
290,77,10,2024-02-11 10:36:00,AarhusPort,97,bird,0.853,low,True
291,31,3,2024-01-20 09:52:00,AarhusPort,58,bird,0.71,low,True
292,47,2,2024-01-30 11:40:00,AarhusPort,56,unknown,0.662,medium,True
293,55,14,2024-02-20 14:07:00,AarhusPort,197,drone,0.724,medium,True
294,106,1,2024-01-13 19:29:00,EsbjergPort,181,unknown,0.6,high,True
295,121,15,2024-01-24 06:56:00,EsbjergPort,94,bird,0.785,low,True
296,55,8,2024-02-14 11:57:00,BillundAirport,137,bird,0.858,low,True
297,144,11,2024-01-27 13:38:00,EsbjergPort,123,drone,0.739,high,False
298,12,3,2024-02-03 13:02:00,BillundAirport,180,bird,0.901,low,True
299,145,1,2024-01-21 01:05:00,OdenseIndustrial,50,bird,0.931,medium,True
300,144,8,2024-01-05 14:45:00,BillundAirport,142,bird,0.747,medium,True
301,140,11,2024-01-27 09:20:00,AarhusPort,73,bird,0.73,medium,True
302,136,9,2024-01-19 13:37:00,CopenhagenAirport,191,bird,0.742,low,True
303,3,2,2024-01-08 23:25:00,CopenhagenAirport,53,bird,0.954,low,True
304,144,9,2024-01-27 18:45:00,CopenhagenHarbor,141,drone,0.853,high,False
305,30,9,2024-01-18 17:22:00,CopenhagenHarbor,132,bird,0.836,medium,True
306,23,8,2024-02-15 05:55:00,BillundAirport,81,bird,0.731,low,True
307,92,9,2024-02-08 07:28:00,CopenhagenAirport,42,drone,0.888,high,True
308,115,11,2024-02-06 10:47:00,AarhusPort,65,bird,0.952,low,True
309,104,7,2024-01-09 13:42:00,EsbjergPort,75,bird,0.94,low,True
310,118,1,2024-01-29 08:06:00,AarhusPort,154,drone,0.882,high,True
311,5,6,2024-02-03 20:50:00,AarhusPort,137,bird,0.722,low,False
312,104,1,2024-02-24 14:23:00,BillundAirport,150,bird,0.733,medium,True
313,108,5,2024-02-22 12:29:00,BillundAirport,185,bird,0.714,medium,True
314,65,5,2024-02-06 12:43:00,OdenseIndustrial,181,bird,0.775,low,True
315,121,1,2024-02-26 22:14:00,AarhusPort,132,bird,0.739,low,True
316,30,4,2024-01-19 07:59:00,AarhusPort,63,drone,0.775,medium,True
317,149,2,2024-02-29 07:02:00,BillundAirport,147,bird,0.812,medium,True
318,84,10,2024-02-26 10:04:00,BillundAirport,127,bird,0.973,medium,True
319,150,14,2024-02-23 03:34:00,OdenseIndustrial,177,bird,0.877,medium,True
320,32,1,2024-02-08 06:26:00,OdenseIndustrial,36,bird,0.942,medium,False
321,16,14,2024-01-22 07:18:00,CopenhagenHarbor,78,drone,0.906,critical,True
322,38,7,2024-02-22 22:18:00,CopenhagenAirport,157,bird,0.733,medium,True
323,142,3,2024-02-13 21:50:00,AarhusPort,118,bird,0.913,low,True
324,36,1,2024-02-21 10:15:00,AarhusPort,103,bird,0.78,low,True
325,114,7,2024-02-09 03:33:00,OdenseIndustrial,165,bird,0.885,medium,True
326,66,10,2024-01-22 20:40:00,OdenseIndustrial,64,bird,0.799,low,True
327,105,8,2024-02-29 04:30:00,CopenhagenHarbor,127,drone,0.989,critical,True
328,85,1,2024-02-17 19:16:00,CopenhagenAirport,81,bird,0.776,low,True
329,2,1,2024-02-20 04:18:00,CopenhagenHarbor,78,bird,0.781,low,True
330,75,5,2024-01-28 18:26:00,CopenhagenAirport,196,bird,0.97,medium,True
331,67,3,2024-01-17 18:40:00,EsbjergPort,179,drone,0.707,medium,True
332,55,2,2024-02-29 10:35:00,AarhusPort,157,bird,0.902,low,True
333,6,3,2024-02-24 22:31:00,CopenhagenHarbor,30,drone,0.91,critical,True
334,150,10,2024-02-15 02:09:00,OdenseIndustrial,121,drone,0.943,critical,True
335,143,13,2024-02-21 01:06:00,CopenhagenHarbor,89,drone,0.983,critical,True
336,86,5,2024-01-25 05:51:00,EsbjergPort,142,bird,0.983,low,True
