transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,currency,total_amount,billing_type
49,64,9,2024-02-09,16,2499.0,EUR,39984.0,annual
50,12,9,2023-12-22,7,2499.0,EUR,17493.0,annual
51,56,12,2024-07-19,25935,0.005,EUR,129.68,usage
52,101,10,2024-02-26,6,99.0,EUR,594.0,subscription
53,16,15,2024-12-28,2,5000.0,EUR,10000.0,project
54,2,1,2023-07-14,1,299.0,EUR,299.0,subscription
55,128,5,2024-01-11,7,149.0,EUR,1043.0,subscription
56,92,7,2024-07-31,1,399.0,EUR,399.0,subscription
57,105,13,2024-09-03,35754,0.004,EUR,143.02,usage
58,31,7,2024-05-01,1,399.0,EUR,399.0,subscription
59,47,10,2024-05-29,5,99.0,EUR,495.0,subscription
60,43,6,2024-08-13,1,129.0,EUR,129.0,subscription
61,65,11,2023-07-03,2,2000.0,EUR,4000.0,project
62,50,10,2024-09-24,3,99.0,EUR,297.0,subscription
63,1,4,2024-11-06,8,79.0,EUR,632.0,subscription
64,144,3,2024-08-20,9,1999.0,EUR,17991.0,annual
65,122,12,2024-07-25,43734,0.005,EUR,218.67,usage
66,28,13,2024-07-07,16721,0.004,EUR,66.88,usage
67,86,9,2023-08-21,2,2499.0,EUR,4998.0,annual
68,82,15,2024-07-10,4,5000.0,EUR,20000.0,project
69,22,12,2024-07-29,49708,0.005,EUR,248.54,usage
70,41,13,2023-11-19,44614,0.004,EUR,178.46,usage
71,76,10,2023-09-24,19,99.0,EUR,1881.0,subscription
72,147,4,2024-10-06,13,79.0,EUR,1027.0,subscription
73,89,8,2023-08-15,1,499.0,EUR,499.0,subscription
74,59,13,2024-02-23,47250,0.004,EUR,189.0,usage
75,69,1,2023-07-10,1,299.0,EUR,299.0,subscription
76,123,7,2024-12-11,1,399.0,EUR,399.0,subscription
77,74,12,2023-12-25,20861,0.005,EUR,104.31,usage
78,7,6,2023-07-06,15,129.0,EUR,1935.0,subscription
79,101,13,2024-05-02,10369,0.004,EUR,41.48,usage
80,111,12,2024-05-22,4857,0.005,EUR,24.29,usage
81,52,1,2024-06-20,1,299.0,EUR,299.0,subscription
82,24,15,2024-07-29,1,5000.0,EUR,5000.0,project
83,26,4,2024-04-25,1,79.0,EUR,79.0,subscription
84,125,12,2024-12-07,33490,0.005,EUR,167.45,usage
85,90,15,2024-04-10,1,5000.0,EUR,5000.0,project
86,122,14,2024-05-25,21223,0.003,EUR,63.67,usage
87,10,5,2023-08-19,11,149.0,EUR,1639.0,subscription
88,17,11,2024-07-12,5,2000.0,EUR,10000.0,project
89,2,8,2024-12-19,1,499.0,EUR,499.0,subscription
90,112,15,2023-11-21,2,5000.0,EUR,10000.0,project
91,27,4,2023-08-29,2,79.0,EUR,158.0,subscription
92,71,3,2023-09-13,14,1999.0,EUR,27986.0,annual
93,118,2,2023-07-03,1,599.0,EUR,599.0,subscription
94,9,4,2024-09-20,6,79.0,EUR,474.0,subscription
95,86,11,2024-03-31,2,2000.0,EUR,4000.0,project
96,23,10,2024-12-11,16,99.0,EUR,1584.0,subscription
97,73,14,2024-01-31,4051,0.003,EUR,12.15,usage
98,27,13,2024-10-27,39090,0.004,EUR,156.36,usage
99,93,4,2024-05-24,6,79.0,EUR,474.0,subscription
100,81,13,2024-03-11,30442,0.004,EUR,121.77,usage
101,84,10,2024-07-21,14,99.0,EUR,1386.0,subscription
102,43,5,2023-11-03,2,149.0,EUR,298.0,subscription
103,7,13,2024-05-19,13767,0.004,EUR,55.07,usage
104,92,7,2024-01-20,1,399.0,EUR,399.0,subscription
105,83,9,2023-12-19,11,2499.0,EUR,27489.0,annual
106,84,2,2024-02-02,1,599.0,EUR,599.0,subscription
107,44,5,2024-03-01,3,149.0,EUR,447.0,subscription
108,40,11,2024-05-31,2,2000.0,EUR,4000.0,project
109,135,10,2024-04-23,1,99.0,EUR,99.0,subscription
110,25,9,2023-12-29,1,2499.0,EUR,2499.0,annual
111,59,12,2024-05-29,14227,0.005,EUR,71.14,usage
112,141,14,2024-11-22,41462,0.003,EUR,124.39,usage
113,103,13,2024-07-17,7298,0.004,EUR,29.19,usage
114,86,3,2024-01-15,6,1999.0,EUR,11994.0,annual
115,112,1,2024-05-27,1,299.0,EUR,299.0,subscription
116,86,2,2023-12-12,1,599.0,EUR,599.0,subscription
117,98,14,2024-02-27,46487,0.003,EUR,139.46,usage
118,62,6,2024-02-12,12,129.0,EUR,1548.0,subscription
119,8,5,2024-09-23,12,149.0,EUR,1788.0,subscription
120,113,1,2024-01-12,1,299.0,EUR,299.0,subscription
121,146,1,2024-01-20,1,299.0,EUR,299.0,subscription
122,60,11,2024-09-30,3,2000.0,EUR,6000.0,project
123,60,4,2024-03-13,2,79.0,EUR,158.0,subscription
124,106,12,2024-12-10,14601,0.005,EUR,73.0,usage
125,2,15,2024-03-28,5,5000.0,EUR,25000.0,project
126,91,4,2023-07-09,7,79.0,EUR,553.0,subscription
127,14,15,2024-01-17,3,5000.0,EUR,15000.0,project
128,48,6,2023-08-28,11,129.0,EUR,1419.0,subscription
129,103,6,2024-07-27,14,129.0,EUR,1806.0,subscription
130,56,10,2023-10-27,3,99.0,EUR,297.0,subscription
131,12,14,2024-08-02,4999,0.003,EUR,15.0,usage
132,55,6,2024-05-26,11,129.0,EUR,1419.0,subscription
133,110,1,2024-03-23,1,299.0,EUR,299.0,subscription
134,4,10,2024-12-01,4,99.0,EUR,396.0,subscription
135,36,9,2024-10-22,17,2499.0,EUR,42483.0,annual
136,131,11,2023-11-11,3,2000.0,EUR,6000.0,project
137,1,7,2024-06-19,1,399.0,EUR,399.0,subscription
138,17,7,2024-11-09,1,399.0,EUR,399.0,subscription
139,62,11,2023-10-15,1,2000.0,EUR,2000.0,project
140,48,7,2024-04-15,1,399.0,EUR,399.0,subscription
141,62,2,2023-11-24,1,599.0,EUR,599.0,subscription
142,69,2,2024-05-22,1,599.0,EUR,599.0,subscription
143,147,6,2024-08-18,10,129.0,EUR,1290.0,subscription
144,103,7,2024-01-26,1,399.0,EUR,399.0,subscription
145,110,3,2024-04-21,15,1999.0,EUR,29985.0,annual
146,91,13,2024-08-01,8975,0.004,EUR,35.9,usage
147,114,4,2023-10-11,18,79.0,EUR,1422.0,subscription
148,89,14,2024-11-19,22314,0.003,EUR,66.94,usage
149,56,12,2024-01-25,24398,0.005,EUR,121.99,usage
150,78,3,2024-08-31,10,1999.0,EUR,19990.0,annual
151,14,7,2024-07-27,1,399.0,EUR,399.0,subscription
152,25,7,2023-10-17,1,399.0,EUR,399.0,subscription
153,132,4,2024-06-12,9,79.0,EUR,711.0,subscription
154,32,13,2023-08-19,32533,0.004,EUR,130.13,usage
155,82,7,2023-10-13,1,399.0,EUR,399.0,subscription
156,78,5,2024-08-23,14,149.0,EUR,2086.0,subscription
157,106,1,2024-07-07,1,299.0,EUR,299.0,subscription
158,20,10,2023-07-27,11,99.0,EUR,1089.0,subscription
159,74,4,2024-03-29,1,79.0,EUR,79.0,subscription
160,10,7,2024-06-04,1,399.0,EUR,399.0,subscription
161,123,13,2024-04-26,6091,0.004,EUR,24.36,usage
162,34,15,2024-10-22,2,5000.0,EUR,10000.0,project
163,40,2,2024-12-25,1,599.0,EUR,599.0,subscription
164,127,2,2024-03-21,1,599.0,EUR,599.0,subscription
165,33,1,2024-12-23,1,299.0,EUR,299.0,subscription
166,71,2,2023-12-13,1,599.0,EUR,599.0,subscription
167,137,10,2024-05-11,6,99.0,EUR,594.0,subscription
168,144,14,2023-07-01,23293,0.003,EUR,69.88,usage
169,133,8,2024-03-17,1,499.0,EUR,499.0,subscription
170,98,11,2023-09-01,2,2000.0,EUR,4000.0,project
171,124,8,2024-10-25,1,499.0,EUR,499.0,subscription
172,43,8,2024-05-16,1,499.0,EUR,499.0,subscription
173,114,15,2024-01-17,5,5000.0,EUR,25000.0,project
174,89,1,2024-02-07,1,299.0,EUR,299.0,subscription
175,13,1,2023-11-29,1,299.0,EUR,299.0,subscription
176,128,12,2024-10-04,48553,0.005,EUR,242.77,usage
177,139,10,2024-02-02,3,99.0,EUR,297.0,subscription
178,52,4,2024-01-12,9,79.0,EUR,711.0,subscription
179,17,6,2024-01-18,19,129.0,EUR,2451.0,subscription
180,13,8,2024-02-19,1,499.0,EUR,499.0,subscription
181,84,13,2023-11-18,21530,0.004,EUR,86.12,usage
182,97,2,2024-11-09,1,599.0,EUR,599.0,subscription
183,106,13,2023-08-26,22872,0.004,EUR,91.49,usage
184,96,3,2024-11-15,18,1999.0,EUR,35982.0,annual
185,8,6,2023-11-19,11,129.0,EUR,1419.0,subscription
186,56,10,2024-12-20,12,99.0,EUR,1188.0,subscription
187,104,4,2023-10-14,3,79.0,EUR,237.0,subscription
188,83,12,2023-12-12,33977,0.005,EUR,169.88,usage
189,44,2,2024-01-31,1,599.0,EUR,599.0,subscription
190,103,7,2023-09-09,1,399.0,EUR,399.0,subscription
191,112,4,2023-09-28,6,79.0,EUR,474.0,subscription
192,149,8,2024-02-13,1,499.0,EUR,499.0,subscription
193,42,8,2023-09-17,1,499.0,EUR,499.0,subscription
194,145,7,2024-06-13,1,399.0,EUR,399.0,subscription
195,30,10,2024-03-02,7,99.0,EUR,693.0,subscription
196,26,9,2024-03-28,1,2499.0,EUR,2499.0,annual
197,125,4,2024-08-06,6,79.0,EUR,474.0,subscription
198,19,7,2023-10-24,1,399.0,EUR,399.0,subscription
199,53,10,2024-09-07,18,99.0,EUR,1782.0,subscription
200,85,10,2024-12-11,13,99.0,EUR,1287.0,subscription
201,17,15,2024-09-14,3,5000.0,EUR,15000.0,project
202,104,12,2023-12-19,11918,0.005,EUR,59.59,usage
203,105,1,2023-07-16,1,299.0,EUR,299.0,subscription
204,104,4,2023-08-25,19,79.0,EUR,1501.0,subscription
205,147,2,2023-10-11,1,599.0,EUR,599.0,subscription
206,124,9,2024-04-09,9,2499.0,EUR,22491.0,annual
207,81,5,2024-11-28,3,149.0,EUR,447.0,subscription
208,37,3,2024-04-03,12,1999.0,EUR,23988.0,annual
209,121,4,2024-03-25,18,79.0,EUR,1422.0,subscription
210,70,6,2024-08-03,8,129.0,EUR,1032.0,subscription
211,130,10,2024-11-14,9,99.0,EUR,891.0,subscription
212,59,1,2023-09-24,1,299.0,EUR,299.0,subscription
213,118,7,2024-05-15,1,399.0,EUR,399.0,subscription
214,133,8,2023-08-01,1,499.0,EUR,499.0,subscription
215,37,7,2024-05-31,1,399.0,EUR,399.0,subscription
216,31,7,2023-08-20,1,399.0,EUR,399.0,subscription
217,99,9,2023-09-17,13,2499.0,EUR,32487.0,annual
218,94,13,2023-12-21,49336,0.004,EUR,197.34,usage
219,6,4,2024-11-12,7,79.0,EUR,553.0,subscription
220,15,14,2023-09-14,20728,0.003,EUR,62.18,usage
221,143,7,2024-05-11,1,399.0,EUR,399.0,subscription
222,16,9,2024-07-07,18,2499.0,EUR,44982.0,annual
223,20,15,2023-09-19,2,5000.0,EUR,10000.0,project
224,77,5,2023-09-09,3,149.0,EUR,447.0,subscription
225,44,2,2023-09-09,1,599.0,EUR,599.0,subscription
226,46,15,2023-08-15,5,5000.0,EUR,25000.0,project
227,95,5,2023-08-16,19,149.0,EUR,2831.0,subscription
228,64,4,2024-08-25,1,79.0,EUR,79.0,subscription
229,131,8,2023-11-26,1,499.0,EUR,499.0,subscription
230,9,15,2023-11-07,5,5000.0,EUR,25000.0,project
231,42,5,2024-09-28,10,149.0,EUR,1490.0,subscription
232,73,9,2024-11-16,14,2499.0,EUR,34986.0,annual
233,84,9,2024-02-29,13,2499.0,EUR,32487.0,annual
234,59,3,2024-10-16,9,1999.0,EUR,17991.0,annual
235,21,13,2024-07-16,19405,0.004,EUR,77.62,usage
236,150,10,2023-10-11,6,99.0,EUR,594.0,subscription
237,63,15,2024-10-31,3,5000.0,EUR,15000.0,project
238,73,6,2023-08-06,10,129.0,EUR,1290.0,subscription
239,61,6,2024-12-01,3,129.0,EUR,387.0,subscription
240,64,4,2024-05-28,18,79.0,EUR,1422.0,subscription
241,69,11,2024-07-31,5,2000.0,EUR,10000.0,project
242,129,13,2024-04-21,13178,0.004,EUR,52.71,usage
243,106,10,2023-10-15,5,99.0,EUR,495.0,subscription
244,65,3,2024-12-11,11,1999.0,EUR,21989.0,annual
245,122,1,2023-09-21,1,299.0,EUR,299.0,subscription
246,62,12,2024-04-13,18097,0.005,EUR,90.48,usage
247,103,7,2024-10-03,1,399.0,EUR,399.0,subscription
248,60,15,2024-01-31,1,5000.0,EUR,5000.0,project
249,46,15,2024-04-06,4,5000.0,EUR,20000.0,project
250,5,5,2024-10-01,18,149.0,EUR,2682.0,subscription
251,113,14,2024-06-08,18809,0.003,EUR,56.43,usage
252,150,10,2024-01-10,1,99.0,EUR,99.0,subscription
253,70,15,2023-12-05,2,5000.0,EUR,10000.0,project
254,11,7,2024-10-07,1,399.0,EUR,399.0,subscription
255,138,1,2023-10-12,1,299.0,EUR,299.0,subscription
256,98,8,2023-08-03,1,499.0,EUR,499.0,subscription
257,31,3,2023-10-10,19,1999.0,EUR,37981.0,annual
258,12,7,2024-05-20,1,399.0,EUR,399.0,subscription
259,108,12,2023-11-18,24118,0.005,EUR,120.59,usage
260,80,3,2024-10-16,2,1999.0,EUR,3998.0,annual
261,67,14,2023-07-31,24843,0.003,EUR,74.53,usage
262,52,3,2023-09-01,1,1999.0,EUR,1999.0,annual
263,133,10,2023-09-25,19,99.0,EUR,1881.0,subscription
264,139,9,2024-04-29,10,2499.0,EUR,24990.0,annual
265,25,13,2023-08-30,43240,0.004,EUR,172.96,usage
266,35,2,2024-07-30,1,599.0,EUR,599.0,subscription
267,22,14,2024-05-29,36807,0.003,EUR,110.42,usage
268,96,4,2024-08-14,15,79.0,EUR,1185.0,subscription
269,117,6,2024-04-09,4,129.0,EUR,516.0,subscription
270,20,14,2024-10-08,44046,0.003,EUR,132.14,usage
271,106,3,2023-09-18,7,1999.0,EUR,13993.0,annual
272,4,12,2023-09-15,14944,0.005,EUR,74.72,usage
273,18,10,2024-12-21,18,99.0,EUR,1782.0,subscription
274,51,14,2024-06-25,24340,0.003,EUR,73.02,usage
275,20,10,2023-09-15,10,99.0,EUR,990.0,subscription
276,122,7,2024-11-20,1,399.0,EUR,399.0,subscription
277,137,7,2023-12-11,1,399.0,EUR,399.0,subscription
278,80,15,2023-07-09,3,5000.0,EUR,15000.0,project
279,102,5,2023-12-22,10,149.0,EUR,1490.0,subscription
280,25,3,2024-10-04,14,1999.0,EUR,27986.0,annual
281,59,2,2024-05-02,1,599.0,EUR,599.0,subscription
282,45,15,2024-03-01,3,5000.0,EUR,15000.0,project
283,41,15,2023-10-30,4,5000.0,EUR,20000.0,project
284,38,4,2024-01-01,11,79.0,EUR,869.0,subscription
285,117,14,2023-08-01,48621,0.003,EUR,145.86,usage
286,19,15,2024-05-05,5,5000.0,EUR,25000.0,project
287,14,13,2024-07-06,12154,0.004,EUR,48.62,usage
288,127,4,2023-08-25,7,79.0,EUR,553.0,subscription
289,149,11,2024-03-29,2,2000.0,EUR,4000.0,project
290,143,8,2024-10-06,1,499.0,EUR,499.0,subscription
291,3,8,2024-09-28,1,499.0,EUR,499.0,subscription
292,37,13,2024-03-05,11338,0.004,EUR,45.35,usage
293,117,5,2023-09-16,11,149.0,EUR,1639.0,subscription
294,16,13,2024-12-15,24634,0.004,EUR,98.54,usage
295,142,6,2023-10-16,2,129.0,EUR,258.0,subscription
296,9,8,2024-03-29,1,499.0,EUR,499.0,subscription
297,7,15,2023-07-15,4,5000.0,EUR,20000.0,project
298,142,1,2024-07-04,1,299.0,EUR,299.0,subscription
299,134,5,2024-04-29,10,149.0,EUR,1490.0,subscription
300,15,4,2024-01-21,2,79.0,EUR,158.0,subscription
301,72,4,2023-10-21,8,79.0,EUR,632.0,subscription
302,104,11,2024-03-09,1,2000.0,EUR,2000.0,project
303,129,2,2024-09-13,1,599.0,EUR,599.0,subscription
304,96,10,2024-01-02,6,99.0,EUR,594.0,subscription
305,122,1,2024-02-12,1,299.0,EUR,299.0,subscription
306,115,14,2024-12-09,2002,0.003,EUR,6.01,usage
307,148,15,2024-06-18,3,5000.0,EUR,15000.0,project
308,80,6,2023-07-01,10,129.0,EUR,1290.0,subscription
309,7,7,2024-08-23,1,399.0,EUR,399.0,subscription
310,135,5,2023-12-08,13,149.0,EUR,1937.0,subscription
311,50,15,2023-12-08,1,5000.0,EUR,5000.0,project
312,130,8,2023-11-05,1,499.0,EUR,499.0,subscription
313,47,9,2023-11-28,2,2499.0,EUR,4998.0,annual
314,14,11,2024-09-16,3,2000.0,EUR,6000.0,project
315,31,11,2024-10-13,1,2000.0,EUR,2000.0,project
316,50,2,2024-10-05,1,599.0,EUR,599.0,subscription
317,41,11,2023-07-30,5,2000.0,EUR,10000.0,project
318,14,13,2024-10-15,8017,0.004,EUR,32.07,usage
319,133,4,2023-09-18,10,79.0,EUR,790.0,subscription
320,5,11,2023-08-08,4,2000.0,EUR,8000.0,project
321,5,9,2024-02-25,18,2499.0,EUR,44982.0,annual
322,113,5,2024-06-01,1,149.0,EUR,149.0,subscription
323,118,3,2024-04-05,3,1999.0,EUR,5997.0,annual
324,96,6,2023-10-24,5,129.0,EUR,645.0,subscription
325,36,15,2024-03-25,1,5000.0,EUR,5000.0,project
326,79,3,2024-05-30,17,1999.0,EUR,33983.0,annual
327,19,14,2024-05-07,26159,0.003,EUR,78.48,usage
328,22,5,2023-08-22,17,149.0,EUR,2533.0,subscription
329,56,3,2023-09-06,9,1999.0,EUR,17991.0,annual
330,17,6,2023-08-03,6,129.0,EUR,774.0,subscription
331,17,12,2024-07-20,16494,0.005,EUR,82.47,usage
332,146,10,2024-03-05,7,99.0,EUR,693.0,subscription
333,78,5,2023-10-19,15,149.0,EUR,2235.0,subscription
334,56,14,2023-10-02,26574,0.003,EUR,79.72,usage
335,80,9,2024-08-13,8,2499.0,EUR,19992.0,annual
336,50,3,2023-12-26,9,1999.0,EUR,17991.0,annual
337,58,6,2023-08-16,15,129.0,EUR,1935.0,subscription
338,18,8,2024-07-10,1,499.0,EUR,499.0,subscription
339,135,7,2024-01-18,1,399.0,EUR,399.0,subscription
340,76,6,2024-09-17,2,129.0,EUR,258.0,subscription
341,10,14,2024-04-22,49070,0.003,EUR,147.21,usage
342,69,15,2024-05-03,2,5000.0,EUR,10000.0,project
343,85,2,2024-11-04,1,599.0,EUR,599.0,subscription
344,131,15,2024-06-02,2,5000.0,EUR,10000.0,project
345,83,7,2023-09-04,1,399.0,EUR,399.0,subscription
346,109,8,2024-08-25,1,499.0,EUR,499.0,subscription
347,44,1,2024-12-21,1,299.0,EUR,299.0,subscription
348,142,15,2024-11-04,2,5000.0,EUR,10000.0,project
349,132,9,2024-05-12,18,2499.0,EUR,44982.0,annual
350,18,4,2023-09-13,1,79.0,EUR,79.0,subscription
351,93,8,2023-08-28,1,499.0,EUR,499.0,subscription
352,38,15,2024-07-20,3,5000.0,EUR,15000.0,project
353,148,10,2023-07-15,14,99.0,EUR,1386.0,subscription
354,51,7,2024-02-16,1,399.0,EUR,399.0,subscription
355,19,14,2024-01-15,23443,0.003,EUR,70.33,usage
356,120,13,2024-06-18,40725,0.004,EUR,162.9,usage
357,68,10,2023-08-04,4,99.0,EUR,396.0,subscription
358,66,7,2023-12-09,1,399.0,EUR,399.0,subscription
359,141,2,2024-10-13,1,599.0,EUR,599.0,subscription
360,98,1,2024-12-12,1,299.0,EUR,299.0,subscription
361,88,4,2024-08-26,13,79.0,EUR,1027.0,subscription
362,33,12,2024-06-12,13559,0.005,EUR,67.8,usage
363,105,2,2023-11-24,1,599.0,EUR,599.0,subscription
364,74,8,2024-07-08,1,499.0,EUR,499.0,subscription
365,82,10,2024-08-19,16,99.0,EUR,1584.0,subscription
366,19,7,2024-11-05,1,399.0,EUR,399.0,subscription
367,71,8,2024-03-12,1,499.0,EUR,499.0,subscription
368,57,11,2023-10-11,5,2000.0,EUR,10000.0,project
369,147,6,2023-10-29,6,129.0,EUR,774.0,subscription
370,79,1,2024-08-22,1,299.0,EUR,299.0,subscription
371,42,14,2024-06-14,16333,0.003,EUR,49.0,usage
372,116,13,2023-08-11,31129,0.004,EUR,124.52,usage
373,4,13,2024-07-01,1037,0.004,EUR,4.15,usage
374,4,12,2023-07-29,39758,0.005,EUR,198.79,usage
375,5,9,2023-07-14,16,2499.0,EUR,39984.0,annual
376,41,6,2024-10-27,9,129.0,EUR,1161.0,subscription
377,108,12,2024-01-05,34241,0.005,EUR,171.21,usage
378,87,13,2024-04-20,1058,0.004,EUR,4.23,usage
379,104,10,2023-12-30,13,99.0,EUR,1287.0,subscription
380,117,1,2023-08-06,1,299.0,EUR,299.0,subscription
381,101,1,2023-07-14,1,299.0,EUR,299.0,subscription
382,75,8,2023-12-06,1,499.0,EUR,499.0,subscription
383,75,6,2024-11-05,12,129.0,EUR,1548.0,subscription
384,13,8,2024-05-24,1,499.0,EUR,499.0,subscription
385,142,8,2023-09-21,1,499.0,EUR,499.0,subscription
386,25,15,2023-07-22,3,5000.0,EUR,15000.0,project
387,115,11,2023-11-09,2,2000.0,EUR,4000.0,project
388,82,14,2024-10-07,28190,0.003,EUR,84.57,usage
389,10,8,2024-09-28,1,499.0,EUR,499.0,subscription
390,50,10,2024-04-27,1,99.0,EUR,99.0,subscription
391,142,15,2024-03-23,4,5000.0,EUR,20000.0,project
392,15,7,2024-07-29,1,399.0,EUR,399.0,subscription
393,16,7,2023-10-28,1,399.0,EUR,399.0,subscription
394,2,10,2024-03-02,19,99.0,EUR,1881.0,subscription
395,30,4,2023-08-07,5,79.0,EUR,395.0,subscription
396,82,9,2024-03-01,17,2499.0,EUR,42483.0,annual
397,31,12,2023-07-21,26666,0.005,EUR,133.33,usage
398,77,2,2023-10-18,1,599.0,EUR,599.0,subscription
399,148,11,2024-07-28,3,2000.0,EUR,6000.0,project
400,114,9,2024-08-13,1,2499.0,EUR,2499.0,annual
401,35,10,2023-07-08,1,99.0,EUR,99.0,subscription
402,23,3,2024-09-16,9,1999.0,EUR,17991.0,annual
403,106,14,2024-05-23,33406,0.003,EUR,100.22,usage
404,97,13,2024-04-15,41262,0.004,EUR,165.05,usage
405,115,15,2024-11-22,1,5000.0,EUR,5000.0,project
406,100,2,2024-06-25,1,599.0,EUR,599.0,subscription
407,55,13,2024-02-04,22125,0.004,EUR,88.5,usage
408,8,4,2024-08-09,17,79.0,EUR,1343.0,subscription
409,59,5,2024-02-05,17,149.0,EUR,2533.0,subscription
410,128,2,2023-10-15,1,599.0,EUR,599.0,subscription
411,32,13,2024-04-11,31284,0.004,EUR,125.14,usage
412,93,15,2023-07-08,4,5000.0,EUR,20000.0,project
413,7,1,2024-01-05,1,299.0,EUR,299.0,subscription
414,2,10,2023-09-19,4,99.0,EUR,396.0,subscription
415,85,11,2023-10-16,5,2000.0,EUR,10000.0,project
416,134,5,2024-05-16,5,149.0,EUR,745.0,subscription
417,106,9,2024-06-10,13,2499.0,EUR,32487.0,annual
418,36,15,2024-05-23,2,5000.0,EUR,10000.0,project
419,45,12,2024-04-27,25298,0.005,EUR,126.49,usage
420,42,12,2024-01-16,16015,0.005,EUR,80.08,usage
421,53,15,2024-08-22,1,5000.0,EUR,5000.0,project
422,110,5,2023-08-08,13,149.0,EUR,1937.0,subscription
423,9,12,2024-05-02,27204,0.005,EUR,136.02,usage
424,87,11,2023-07-04,5,2000.0,EUR,10000.0,project
425,114,10,2023-09-15,8,99.0,EUR,792.0,subscription
426,75,9,2024-10-10,17,2499.0,EUR,42483.0,annual
427,130,14,2023-12-26,18654,0.003,EUR,55.96,usage
428,11,13,2024-04-01,46704,0.004,EUR,186.82,usage
429,50,12,2023-11-29,43369,0.005,EUR,216.84,usage
430,122,10,2023-12-11,19,99.0,EUR,1881.0,subscription
431,143,6,2024-04-15,17,129.0,EUR,2193.0,subscription
432,75,3,2024-07-12,7,1999.0,EUR,13993.0,annual
433,31,4,2024-05-05,3,79.0,EUR,237.0,subscription
434,92,4,2024-07-23,19,79.0,EUR,1501.0,subscription
435,92,1,2023-12-30,1,299.0,EUR,299.0,subscription
436,75,3,2024-05-01,19,1999.0,EUR,37981.0,annual
437,92,3,2023-09-10,9,1999.0,EUR,17991.0,annual
438,129,13,2024-02-04,28185,0.004,EUR,112.74,usage
439,42,14,2023-12-20,7105,0.003,EUR,21.32,usage
440,110,1,2024-03-28,1,299.0,EUR,299.0,subscription
441,18,13,2024-10-10,3749,0.004,EUR,15.0,usage
442,77,9,2024-03-25,15,2499.0,EUR,37485.0,annual
443,133,11,2023-07-20,1,2000.0,EUR,2000.0,project
444,20,1,2024-11-14,1,299.0,EUR,299.0,subscription
445,127,9,2023-11-24,6,2499.0,EUR,14994.0,annual
